VP241,普通物理实验（2）,Physics Lab II,1,2,18,"Vp140/160, accompanied by Vp240/260",Engineering Foundation,,,,Mateusz Krzyzosiak,,
VP260,强化物理（2）,Honors Physics II,4,60,,Vp160,Engineering Foundation,,,,Mateusz Krzyzosiak,No credit granted to those who have completed or are enrolled in Vp240,
VP390,现代物理,Modern Physics,3,45,,"Vv216/256/286, Vp240/260",Flexible Tech. Elective,,,,Mateusz Krzyzosiak,can be counted as IB(NS),
VR101,政治理论概论,Introduction to Political Theory ,4,60,,Vy100,Intellectual Breadth,Social Sciences,,35/38,David Barnet,,
VR111,语言导论,Intro.to Language,4,60,,,Intellectual Breadth,Humanities,,,San Duanmu(UM),,
VR120,希腊悲剧,Greek Tragedy,3,45,,,Intellectual Breadth,Humanities,,,Justin Andrews,,
VR121,可持续发展心理学,The Psychology of Sustainability,3,45,,,Intellectual Breadth,Social Sciences,,,Stephanie Delphine Preston (UM),,
VR140,比较政府与政治,Comparative Government and Politics ,4,60,,,Intellectual Breadth,Social Sciences,,30,Sam Ro,,
VR150,德国文化,German Culture,3,45,,Vw110 (Vw111 as co-requisite),Intellectual Breadth,Social Sciences,,25,Quanbo Xie,,
VR160,国际政治导论,Introduction to World Politics,4,60,,,Intellectual Breadth,Social Sciences,,45/60,Sam Ro,曾用名Introduction to Global Politics,
VR201,当代文化中的沃尔特迪士尼,Walt Disney in Contemporary Culture,3,45,,,Intellectual Breadth,Humanities,,45,Pamela Mansutti,,
VR202,哲学导论, Introduction to Philosophy,3,45,,,Intellectual Breadth,Humanities,,25,Rockwell Clancy,,
VR203,现代东亚的饮食与历史变迁,Food in Modern East Asian History,4,60,,VY100,Intellectual Breadth,Humanities,,,Tong Xu,,
VR204,近代亚洲史：殖民主义、反殖民主义与国家的形成,"Modern Asia: colonialism, anti-colonialism and state formation",4,60,,,Intellectual Breadth,Social Sciences,,45/60,Sam Ro,,
VR205,美国文化博览,American Ways: US Culture,4,60,,,Intellectual Breadth,Humanities,,35/40,Pamela Mansutti,,
VR206,近代早期的中国与世界,China in the Early Modern World,4,60,,VY100,Intellectual Breadth,Social Sciences,,,Tong Xu,,
VR208,企业与自然环境,Business and Natural Environment,3,45,,,Intellectual Breadth,Social Sciences,Elective for entrepreneurship,45,Sam Ro,,
VR222,世界文学名著,Great Books in World Literature,4,60,,,Intellectual Breadth,Humanities,,45,Amalia Jiva,,
VR236,电影艺术与历史,Film Art and History,4,60,,,Intellectual Breadth,Humanities,,45,Mary Frances Cappiello,,
VR239,儿童文学,Children’s Literature ,3,45,,Vy100,Intellectual Breadth,Humanities,,,Amalia Jiva,,
VR240,国家与帝国,Nations & Empires since 1750,3,45,,,Intellectual Breadth,Social Sciences,,45,Victor Rodriguez ,,
VR241,比较文学：童话与民间故事探索,Comparative Literature: Fairy Tales,3,45,,VY200 or VY125 or equivalent,Intellectual Breadth,Humanities,,35/40,Amalia Jiva,,
VR245,戏剧概论,Introduction to Drama and Theatre,3,45,,"Vy100, Vy200",Intellectual Breadth,Humanities,,30/35,Ryan Thorpe,,
VR251,美学,Aesthetics,3,45,,Vy100,Intellectual Breadth,Humanities,,,Amalia Jiva,,
VR252,中国现当代文学1,Modern and Contemporary Chinese Literature 1,4,60,,,Intellectual Breadth,Humanities,,45,Xuelian Zhang,,
VR253,文化与科技,"Culture, Technology and Silicon Valley",3,45,,,Intellectual Breadth,Humanities,,45,Irene Wei,"pre Vy100,Vy200 removed",
VR254,数字媒体与当代中国流行文化,Digital Media and Pop Culture in contemporary China,3,45,,,Intellectual Breadth,Humanities,,45,Xuelian Zhang,,
VR260,中国文明史导论,Introduction to Chinese Civilization ,4,60,,,Intellectual Breadth,Social Sciences,,45,Miranda Brown(UM),,
VR261,现代美国的诞生,"The Emergence of Modern America, 1865 to the Present",3,45,,,Intellectual Breadth,Social Sciences,,45,Victor Rodriguez ,,
VR262,宗教哲学导论,Introduction to the Philosophy of Religion,4,60,,,Intellectual Breadth,Humanities,,25,Rockwell Clancy,,
VR263,二战后的美国,The United States Since 1945,3,45,,,Intellectual Breadth,Social Sciences,,45,Victor Rodriguez ,,
VR264,美国世纪：1898年后的美国,The American Century: The US in the World since 1898,3,45,,,Intellectual Breadth,Social Sciences,,45,Victor Rodriguez ,,
VR275,西方思想发展,The Western Mind in Revolution ,3,45,,,Intellectual Breadth,Humanities,,75,Frederick Peters(UM),,
VR276,存在主义与文学,Existentialism & Literature,3,45,,,Intellectual Breadth,Humanities,,,Amalia Jiva,,
VR280,中国现代文学概述,Introduction to Modern Chinese Literature,3,45,,Chinese language level: HSK Level 5,Intellectual Breadth,Humanities,,40,Xuelian Zhang,,
VR290,美国亚裔文学中的“家园”,"""Home"" and ""Homeland"" in Asian American Literature",4,60,,,Intellectual Breadth,Humanities,,45,Becky Hsu,,
VR292,爱情文学,Literature of Love,3,45,,"Vy100, Vy200",Intellectual Breadth,Humanities,,,Ryan Thorpe,,
VR300,社会学原理与问题,Sociological Principles and Problems,3,45,,,Intellectual Breadth,Social Sciences,,35/38,David Barnet,credit number changed from 4 to 3,
VR310,美国思想史,American Intellectual History,3,45,,,Intellectual Breadth,Humanities,,20,Victor Rodriguez ,,
VR320,美国短篇小说,American Short Fiction,4,60,,,Intellectual Breadth,Humanities,,45,Becky Hsu,,
VR334,表演科技,Performance Technology,3,45,,,Intellectual Breadth,Humanities,,45,Alvin Hill(UM),,
VR353,美国文化,American Culture,4,60,,,Intellectual Breadth,Humanities,,45,Scott Kurashig(UM),,
VR355,当代道德理论,Contemporary Moral Problems,4,60,,,Intellectual Breadth,Humanities,,45,Heinz Luegenbiehl,,
